CID,BDATE,GEN
CUST03734,1960-03-22,
CUST03735,1960-03-23,F
CUST03736,1960-03-24,
CUST03737,1960-03-25,F
CUST03738,1960-03-26,M
CUST03739,1960-03-27,M
CUST03740,1960-03-28,F
CUST03741,1960-03-29,M
CUST03742,1960-03-30,F
CUST03743,1960-03-31,F
CUST03744,1960-04-01,F
CUST03745,1960-04-02,F
CUST03746,1960-04-03,F
CUST03747,1960-04-04,M
CUST03748,1960-04-05,M
CUST03749,1960-04-06,M
CUST03750,1960-04-07,F
CUST03751,1960-04-08,
CUST03752,1960-04-09,F
CUST03753,1960-04-10,F
CUST03754,1960-04-11,F
CUST03755,1960-04-12,F
CUST03756,1960-04-13,M
CUST03757,1960-04-14,
CUST03758,1960-04-15,F
CUST03759,1960-04-16,M
CUST03760,1960-04-17,M
CUST03761,1960-04-18,F
CUST03762,1960-04-19,F
CUST03763,1960-04-20,M
CUST03764,1960-04-21,
CUST03765,1960-04-22,F
CUST03766,1960-04-23,F
CUST03767,1960-04-24,F
CUST03768,1960-04-25,M
CUST03769,1960-04-26,M
CUST03770,1960-04-27,M
CUST03771,1960-04-28,F
CUST03772,1960-04-29,F
CUST03773,1960-04-30,
CUST03774,1960-05-01,F
CUST03775,1960-05-02,M
CUST03776,1960-05-03,F
CUST03777,1960-05-04,
CUST03778,1960-05-05,M
CUST03779,1960-05-06,F
CUST03780,1960-05-07,F
CUST03781,1960-05-08,F
CUST03782,1960-05-09,M
CUST03783,1960-05-10,M
CUST03784,1960-05-11,M
CUST03785,1960-05-12,F
CUST03786,1960-05-13,M
CUST03787,1960-05-14,F
CUST03788,1960-05-15,M
CUST03789,1960-05-16,F
CUST03790,1960-05-17,F
CUST03791,1960-05-18,F
CUST03792,1960-05-19,F
CUST03793,1960-05-20,M
CUST03794,1960-05-21,M
CUST03795,1960-05-22,M
CUST03796,1960-05-23,M
CUST03797,1960-05-24,M
CUST03798,1960-05-25,F
CUST03799,1960-05-26,F
CUST03800,1960-05-27,F
CUST03801,1960-05-28,F
CUST03802,1960-05-29,F
CUST03803,1960-05-30,M
CUST03804,1960-05-31,F
CUST03805,1960-06-01,F
CUST03806,1960-06-02,F
CUST03807,1960-06-03,
CUST03808,1960-06-04,F
CUST03809,1960-06-05,F
CUST03810,1960-06-06,F
CUST03811,1960-06-07,F
CUST03812,1960-06-08,F
CUST03813,1960-06-09,F
CUST03814,1960-06-10,F
CUST03815,1960-06-11,F
CUST03816,1960-06-12,M
CUST03817,1960-06-13,F
CUST03818,1960-06-14,F
CUST03819,1960-06-15,F
CUST03820,1960-06-16,F
CUST03821,1960-06-17,M
CUST03822,1960-06-18,M
CUST03823,1960-06-19,F
CUST03824,1960-06-20,
CUST03825,1960-06-21,F
CUST03826,1960-06-22,F
CUST03827,1960-06-23,F
CUST03828,1960-06-24,M
CUST03829,1960-06-25,F
CUST03830,1960-06-26,M
CUST03831,1960-06-27,F
CUST03832,1960-06-28,F
CUST03833,1960-06-29,
CUST03834,1960-06-30,M
CUST03835,1960-07-01,
CUST03836,1960-07-02,M
CUST03837,1960-07-03,F
CUST03838,1960-07-04,F
CUST03839,1960-07-05,
CUST03840,1960-07-06,M
CUST03841,1960-07-07,M
CUST03842,1960-07-08,M
CUST03843,1960-07-09,M
CUST03844,1960-07-10,M
CUST03845,1960-07-11,M
CUST03846,1960-07-12,M
CUST03847,1960-07-13,F
CUST03848,1960-07-14,M
CUST03849,1960-07-15,M
CUST03850,1960-07-16,
CUST03851,1960-07-17,M
CUST03852,1960-07-18,F
CUST03853,1960-07-19,
CUST03854,1960-07-20,F
CUST03855,1960-07-21,F
CUST03856,1960-07-22,M
CUST03857,1960-07-23,M
CUST03858,1960-07-24,F
CUST03859,1960-07-25,M
CUST03860,1960-07-26,M
CUST03861,1960-07-27,M
CUST03862,1960-07-28,F
CUST03863,1960-07-29,
CUST03864,1960-07-30,M
CUST03865,1960-07-31,F
CUST03866,1960-08-01,F
CUST03867,1960-08-02,F
CUST03868,1960-08-03,
CUST03869,1960-08-04,M
CUST03870,1960-08-05,F
CUST03871,1960-08-06,M
CUST03872,1960-08-07,F
CUST03873,1960-08-08,F
CUST03874,1960-08-09,F
CUST03875,1960-08-10,M
CUST03876,1960-08-11,
CUST03877,1960-08-12,M
CUST03878,1960-08-13,F
CUST03879,1960-08-14,M
CUST03880,1960-08-15,M
CUST03881,1960-08-16,F
CUST03882,1960-08-17,M
CUST03883,1960-08-18,M
CUST03884,1960-08-19,F
CUST03885,1960-08-20,F
CUST03886,1960-08-21,F
CUST03887,1960-08-22,F
CUST03888,1960-08-23,M
CUST03889,1960-08-24,M
CUST03890,1960-08-25,F
CUST03891,1960-08-26,
CUST03892,1960-08-27,M
CUST03893,1960-08-28,M
CUST03894,1960-08-29,
CUST03895,1960-08-30,F
CUST03896,1960-08-31,M
CUST03897,1960-09-01,M
CUST03898,1960-09-02,F
CUST03899,1960-09-03,M
CUST03900,1960-09-04,M
CUST03901,1960-09-05,
CUST03902,1960-09-06,F
CUST03903,1960-09-07,F
CUST03904,1960-09-08,M
CUST03905,1960-09-09,F
CUST03906,1960-09-10,M
CUST03907,1960-09-11,M
CUST03908,1960-09-12,F
CUST03909,1960-09-13,F
CUST03910,1960-09-14,M
CUST03911,1960-09-15,M
CUST03912,1960-09-16,F
CUST03913,1960-09-17,M
CUST03914,1960-09-18,
CUST03915,1960-09-19,F
CUST03916,1960-09-20,
CUST03917,1960-09-21,M
CUST03918,1960-09-22,M
CUST03919,1960-09-23,M
CUST03920,1960-09-24,
CUST03921,1960-09-25,M
CUST03922,1960-09-26,F
CUST03923,1960-09-27,F
CUST03924,1960-09-28,
CUST03925,1960-09-29,
CUST03926,1960-09-30,M
CUST03927,1960-10-01,F
CUST03928,1960-10-02,M
CUST03929,1960-10-03,M
CUST03930,1960-10-04,M
CUST03931,1960-10-05,F
CUST03932,1960-10-06,F
CUST03933,1960-10-07,M
CUST03934,1960-10-08,F
CUST03935,1960-10-09,M
CUST03936,1960-10-10,F
CUST03937,1960-10-11,F
CUST03938,1960-10-12,M
CUST03939,1960-10-13,
CUST03940,1960-10-14,F
CUST03941,1960-10-15,M
CUST03942,1960-10-16,F
CUST03943,1960-10-17,F
CUST03944,1960-10-18,M
CUST03945,1960-10-19,M
CUST03946,1960-10-20,M
CUST03947,1960-10-21,M
CUST03948,1960-10-22,
CUST03949,1960-10-23,F
CUST03950,1960-10-24,M
CUST03951,1960-10-25,M
CUST03952,1960-10-26,M
CUST03953,1960-10-27,
CUST03954,1960-10-28,
CUST03955,1960-10-29,F
CUST03956,1960-10-30,F
CUST03957,1960-10-31,F
CUST03958,1960-11-01,
CUST03959,1960-11-02,
CUST03960,1960-11-03,F
CUST03961,1960-11-04,F
CUST03962,1960-11-05,M
CUST03963,1960-11-06,M
CUST03964,1960-11-07,M
CUST03965,1960-11-08,M
CUST03966,1960-11-09,M
CUST03967,1960-11-10,
CUST03968,1960-11-11,F
CUST03969,1960-11-12,
CUST03970,1960-11-13,F
CUST03971,1960-11-14,M
CUST03972,1960-11-15,F
CUST03973,1960-11-16,F
CUST03974,1960-11-17,F
CUST03975,1960-11-18,
CUST03976,1960-11-19,
CUST03977,1960-11-20,M
CUST03978,1960-11-21,F
CUST03979,1960-11-22,M
CUST03980,1960-11-23,M
CUST03981,1960-11-24,F
CUST03982,1960-11-25,F
CUST03983,1960-11-26,M
CUST03984,1960-11-27,F
CUST03985,1960-11-28,F
CUST03986,1960-11-29,M
CUST03987,1960-11-30,F
CUST03988,1960-12-01,
CUST03989,1960-12-02,F
CUST03990,1960-12-03,
CUST03991,1960-12-04,F
CUST03992,1960-12-05,F
CUST03993,1960-12-06,M
CUST03994,1960-12-07,F
CUST03995,1960-12-08,M
CUST03996,1960-12-09,M
CUST03997,1960-12-10,M
CUST03998,1960-12-11,M
CUST03999,1960-12-12,F
CUST04000,1960-12-13,F
CUST04001,1960-12-14,M
CUST04002,1960-12-15,M
CUST04003,1960-12-16,F
CUST04004,1960-12-17,M
CUST04005,1960-12-18,M
CUST04006,1960-12-19,
CUST04007,1960-12-20,M
CUST04008,1960-12-21,F
CUST04009,1960-12-22,F
CUST04010,1960-12-23,M
CUST04011,1960-12-24,F
CUST04012,1960-12-25,M
CUST04013,1960-12-26,F
CUST04014,1960-12-27,M
CUST04015,1960-12-28,F
CUST04016,1960-12-29,M
CUST04017,1960-12-30,M
CUST04018,1960-12-31,F
CUST04019,1961-01-01,F
CUST04020,1961-01-02,F
CUST04021,1961-01-03,M
CUST04022,1961-01-04,M
CUST04023,1961-01-05,M
CUST04024,1961-01-06,
CUST04025,1961-01-07,M
CUST04026,1961-01-08,M
CUST04027,1961-01-09,
CUST04028,1961-01-10,M
CUST04029,1961-01-11,M
CUST04030,1961-01-12,M
CUST04031,1961-01-13,M
CUST04032,1961-01-14,M
CUST04033,1961-01-15,M
CUST04034,1961-01-16,M
CUST04035,1961-01-17,M
CUST04036,1961-01-18,M
CUST04037,1961-01-19,F
CUST04038,1961-01-20,M
CUST04039,1961-01-21,F
CUST04040,1961-01-22,F
CUST04041,1961-01-23,F
CUST04042,1961-01-24,M
CUST04043,1961-01-25,M
CUST04044,1961-01-26,F
CUST04045,1961-01-27,M
CUST04046,1961-01-28,M
CUST04047,1961-01-29,F
CUST04048,1961-01-30,M
CUST04049,1961-01-31,F
CUST04050,1961-02-01,F
CUST04051,1961-02-02,M
CUST04052,1961-02-03,F
CUST04053,1961-02-04,M
CUST04054,1961-02-05,F
CUST04055,1961-02-06,M
CUST04056,1961-02-07,M
CUST04057,1961-02-08,F
CUST04058,1961-02-09,F
CUST04059,1961-02-10,
CUST04060,1961-02-11,F
CUST04061,1961-02-12,M
CUST04062,1961-02-13,F
CUST04063,1961-02-14,F
CUST04064,1961-02-15,M
CUST04065,1961-02-16,F
CUST04066,1961-02-17,F
CUST04067,1961-02-18,M
CUST04068,1961-02-19,F
CUST04069,1961-02-20,M
CUST04070,1961-02-21,
CUST04071,1961-02-22,F
CUST04072,1961-02-23,F
CUST04073,1961-02-24,M
CUST04074,1961-02-25,M
CUST04075,1961-02-26,F
CUST04076,1961-02-27,F
CUST04077,1961-02-28,M
CUST04078,1961-03-01,M
CUST04079,1961-03-02,M
CUST04080,1961-03-03,F
CUST04081,1961-03-04,F
CUST04082,1961-03-05,M
CUST04083,1961-03-06,M
CUST04084,1961-03-07,F
CUST04085,1961-03-08,F
CUST04086,1961-03-09,M
CUST04087,1961-03-10,F
CUST04088,1961-03-11,M
CUST04089,1961-03-12,F
CUST04090,1961-03-13,M
CUST04091,1961-03-14,M
CUST04092,1961-03-15,F
CUST04093,1961-03-16,F
CUST04094,1961-03-17,F
CUST04095,1961-03-18,M
CUST04096,1961-03-19,F
CUST04097,1961-03-20,
CUST04098,1961-03-21,M
CUST04099,1961-03-22,M
CUST04100,1961-03-23,M
CUST04101,1961-03-24,M
CUST04102,1961-03-25,F
CUST04103,1961-03-26,M
CUST04104,1961-03-27,F
CUST04105,1961-03-28,F
CUST04106,1961-03-29,
CUST04107,1961-03-30,M
CUST04108,1961-03-31,F
CUST04109,1961-04-01,F
CUST04110,1961-04-02,F
CUST04111,1961-04-03,F
CUST04112,1961-04-04,M
CUST04113,1961-04-05,
CUST04114,1961-04-06,M
CUST04115,1961-04-07,M
CUST04116,1961-04-08,F
CUST04117,1961-04-09,M
CUST04118,1961-04-10,F
CUST04119,1961-04-11,M
CUST04120,1961-04-12,F
CUST04121,1961-04-13,M
CUST04122,1961-04-14,F
CUST04123,1961-04-15,F
CUST04124,1961-04-16,F
CUST04125,1961-04-17,F
CUST04126,1961-04-18,F
CUST04127,1961-04-19,F
CUST04128,1961-04-20,F
CUST04129,1961-04-21,M
CUST04130,1961-04-22,M
CUST04131,1961-04-23,F
CUST04132,1961-04-24,F
CUST04133,1961-04-25,F
CUST04134,1961-04-26,M
CUST04135,1961-04-27,M
CUST04136,1961-04-28,M
CUST04137,1961-04-29,M
CUST04138,1961-04-30,M
CUST04139,1961-05-01,F
CUST04140,1961-05-02,F
CUST04141,1961-05-03,M
CUST04142,1961-05-04,F
CUST04143,1961-05-05,F
CUST04144,1961-05-06,F
CUST04145,1961-05-07,M
CUST04146,1961-05-08,M
CUST04147,1961-05-09,F
CUST04148,1961-05-10,M
CUST04149,1961-05-11,
CUST04150,1961-05-12,
CUST04151,1961-05-13,F
CUST04152,1961-05-14,F
CUST04153,1961-05-15,
CUST04154,1961-05-16,F
CUST04155,1961-05-17,F
CUST04156,1961-05-18,F
CUST04157,1961-05-19,M
CUST04158,1961-05-20,M
CUST04159,1961-05-21,M
CUST04160,1961-05-22,M
CUST04161,1961-05-23,F
CUST04162,1961-05-24,M
CUST04163,1961-05-25,M
CUST04164,1961-05-26,F
CUST04165,1961-05-27,
CUST04166,1961-05-28,F
CUST04167,1961-05-29,F
CUST04168,1961-05-30,F
CUST04169,1961-05-31,M
CUST04170,1961-06-01,F
CUST04171,1961-06-02,F
CUST04172,1961-06-03,F
CUST04173,1961-06-04,F
CUST04174,1961-06-05,
CUST04175,1961-06-06,F
CUST04176,1961-06-07,M
CUST04177,1961-06-08,M
CUST04178,1961-06-09,M
CUST04179,1961-06-10,F
CUST04180,1961-06-11,F
CUST04181,1961-06-12,M
CUST04182,1961-06-13,M
CUST04183,1961-06-14,F
CUST04184,1961-06-15,M
CUST04185,1961-06-16,M
CUST04186,1961-06-17,F
CUST04187,1961-06-18,M
CUST04188,1961-06-19,F
CUST04189,1961-06-20,F
CUST04190,1961-06-21,F
CUST04191,1961-06-22,F
CUST04192,1961-06-23,M
CUST04193,1961-06-24,M
CUST04194,1961-06-25,F
CUST04195,1961-06-26,M
CUST04196,1961-06-27,
CUST04197,1961-06-28,F
CUST04198,1961-06-29,F
CUST04199,1961-06-30,F
CUST04200,1961-07-01,M
CUST04201,1961-07-02,
CUST04202,1961-07-03,M
CUST04203,1961-07-04,F
CUST04204,1961-07-05,F
CUST04205,1961-07-06,
CUST04206,1961-07-07,M
CUST04207,1961-07-08,F
CUST04208,1961-07-09,F
CUST04209,1961-07-10,M
CUST04210,1961-07-11,F
CUST04211,1961-07-12,M
CUST04212,1961-07-13,F
CUST04213,1961-07-14,F
CUST04214,1961-07-15,M
CUST04215,1961-07-16,F
CUST04216,1961-07-17,F
CUST04217,1961-07-18,M
CUST04218,1961-07-19,F
CUST04219,1961-07-20,M
CUST04220,1961-07-21,M
CUST04221,1961-07-22,F
CUST04222,1961-07-23,F
CUST04223,1961-07-24,F
CUST04224,1961-07-25,M
CUST04225,1961-07-26,
CUST04226,1961-07-27,M
CUST04227,1961-07-28,F
CUST04228,1961-07-29,F
CUST04229,1961-07-30,F
CUST04230,1961-07-31,F
CUST04231,1961-08-01,M
CUST04232,1961-08-02,
CUST04233,1961-08-03,F
CUST04234,1961-08-04,F
CUST04235,1961-08-05,F
CUST04236,1961-08-06,M
CUST04237,1961-08-07,M
CUST04238,1961-08-08,F
CUST04239,1961-08-09,M
CUST04240,1961-08-10,F
CUST04241,1961-08-11,F
CUST04242,1961-08-12,M
CUST04243,1961-08-13,M
CUST04244,1961-08-14,F
CUST04245,1961-08-15,M
CUST04246,1961-08-16,F
CUST04247,1961-08-17,F
CUST04248,1961-08-18,F
CUST04249,1961-08-19,M
CUST04250,1961-08-20,F
CUST04251,1961-08-21,M
CUST04252,1961-08-22,M
CUST04253,1961-08-23,M
CUST04254,1961-08-24,F
CUST04255,1961-08-25,M
CUST04256,1961-08-26,
CUST04257,1961-08-27,M
CUST04258,1961-08-28,M
CUST04259,1961-08-29,F
CUST04260,1961-08-30,
CUST04261,1961-08-31,M
CUST04262,1961-09-01,
CUST04263,1961-09-02,F
CUST04264,1961-09-03,M
CUST04265,1961-09-04,F
CUST04266,1961-09-05,F
CUST04267,1961-09-06,
CUST04268,1961-09-07,
CUST04269,1961-09-08,F
CUST04270,1961-09-09,F
CUST04271,1961-09-10,M
CUST04272,1961-09-11,M
CUST04273,1961-09-12,F
CUST04274,1961-09-13,M
CUST04275,1961-09-14,F
CUST04276,1961-09-15,M
CUST04277,1961-09-16,F
CUST04278,1961-09-17,F
CUST04279,1961-09-18,F
CUST04280,1961-09-19,M
CUST04281,1961-09-20,F
CUST04282,1961-09-21,F
CUST04283,1961-09-22,M
CUST04284,1961-09-23,
CUST04285,1961-09-24,F
CUST04286,1961-09-25,
CUST04287,1961-09-26,M
CUST04288,1961-09-27,M
CUST04289,1961-09-28,F
CUST04290,1961-09-29,M
CUST04291,1961-09-30,F
CUST04292,1961-10-01,M
CUST04293,1961-10-02,M
CUST04294,1961-10-03,M
CUST04295,1961-10-04,F
CUST04296,1961-10-05,F
CUST04297,1961-10-06,F
CUST04298,1961-10-07,F
CUST04299,1961-10-08,M
CUST04300,1961-10-09,M
CUST04301,1961-10-10,M
CUST04302,1961-10-11,M
CUST04303,1961-10-12,
CUST04304,1961-10-13,M
CUST04305,1961-10-14,
CUST04306,1961-10-15,
CUST04307,1961-10-16,M
CUST04308,1961-10-17,M
CUST04309,1961-10-18,F
CUST04310,1961-10-19,
CUST04311,1961-10-20,F
CUST04312,1961-10-21,M
CUST04313,1961-10-22,M
CUST04314,1961-10-23,
CUST04315,1961-10-24,M
CUST04316,1961-10-25,M
CUST04317,1961-10-26,
CUST04318,1961-10-27,M
CUST04319,1961-10-28,M
CUST04320,1961-10-29,F
CUST04321,1961-10-30,F
CUST04322,1961-10-31,M
CUST04323,1961-11-01,F
CUST04324,1961-11-02,M
CUST04325,1961-11-03,M
CUST04326,1961-11-04,M
CUST04327,1961-11-05,M
CUST04328,1961-11-06,F
CUST04329,1961-11-07,F
CUST04330,1961-11-08,M
CUST04331,1961-11-09,F
CUST04332,1961-11-10,F
CUST04333,1961-11-11,F
CUST04334,1961-11-12,M
CUST04335,1961-11-13,M
CUST04336,1961-11-14,M
CUST04337,1961-11-15,F
CUST04338,1961-11-16,M
CUST04339,1961-11-17,M
CUST04340,1961-11-18,F
CUST04341,1961-11-19,F
CUST04342,1961-11-20,F
CUST04343,1961-11-21,
CUST04344,1961-11-22,M
CUST04345,1961-11-23,M
CUST04346,1961-11-24,F
CUST04347,1961-11-25,
CUST04348,1961-11-26,
CUST04349,1961-11-27,M
CUST04350,1961-11-28,F
CUST04351,1961-11-29,F
CUST04352,1961-11-30,F
CUST04353,1961-12-01,F
CUST04354,1961-12-02,M
CUST04355,1961-12-03,M
CUST04356,1961-12-04,M
CUST04357,1961-12-05,F
CUST04358,1961-12-06,M
CUST04359,1961-12-07,
CUST04360,1961-12-08,M
CUST04361,1961-12-09,
CUST04362,1961-12-10,F
CUST04363,1961-12-11,F
CUST04364,1961-12-12,F
CUST04365,1961-12-13,M
CUST04366,1961-12-14,
CUST04367,1961-12-15,F
CUST04368,1961-12-16,
CUST04369,1961-12-17,M
CUST04370,1961-12-18,M
CUST04371,1961-12-19,M
CUST04372,1961-12-20,M
CUST04373,1961-12-21,M
CUST04374,1961-12-22,F
CUST04375,1961-12-23,
CUST04376,1961-12-24,F
CUST04377,1961-12-25,M
CUST04378,1961-12-26,F
CUST04379,1961-12-27,F
CUST04380,1961-12-28,M
CUST04381,1961-12-29,
CUST04382,1961-12-30,F
CUST04383,1961-12-31,M
CUST04384,1962-01-01,M
CUST04385,1962-01-02,F
CUST04386,1962-01-03,M
CUST04387,1962-01-04,M
CUST04388,1962-01-05,M
CUST04389,1962-01-06,
CUST04390,1962-01-07,F
CUST04391,1962-01-08,M
CUST04392,1962-01-09,M
CUST04393,1962-01-10,F
CUST04394,1962-01-11,M
CUST04395,1962-01-12,
CUST04396,1962-01-13,F
CUST04397,1962-01-14,M
CUST04398,1962-01-15,F
CUST04399,1962-01-16,F
CUST04400,1962-01-17,M
CUST04401,1962-01-18,F
CUST04402,1962-01-19,F
CUST04403,1962-01-20,F
CUST04404,1962-01-21,M
CUST04405,1962-01-22,M
CUST04406,1962-01-23,F
CUST04407,1962-01-24,M
CUST04408,1962-01-25,M
CUST04409,1962-01-26,M
CUST04410,1962-01-27,F
CUST04411,1962-01-28,M
CUST04412,1962-01-29,F
CUST04413,1962-01-30,F
CUST04414,1962-01-31,M
CUST04415,1962-02-01,F
CUST04416,1962-02-02,F
CUST04417,1962-02-03,F
CUST04418,1962-02-04,M
CUST04419,1962-02-05,M
CUST04420,1962-02-06,M
CUST04421,1962-02-07,F
CUST04422,1962-02-08,F
CUST04423,1962-02-09,F
CUST04424,1962-02-10,M
CUST04425,1962-02-11,F
CUST04426,1962-02-12,M
CUST04427,1962-02-13,M
CUST04428,1962-02-14,F
CUST04429,1962-02-15,M
CUST04430,1962-02-16,F
CUST04431,1962-02-17,M
CUST04432,1962-02-18,M
CUST04433,1962-02-19,M
CUST04434,1962-02-20,M
CUST04435,1962-02-21,F
CUST04436,1962-02-22,M
CUST04437,1962-02-23,F
CUST04438,1962-02-24,M
CUST04439,1962-02-25,F
CUST04440,1962-02-26,M
CUST04441,1962-02-27,M
CUST04442,1962-02-28,F
CUST04443,1962-03-01,F
CUST04444,1962-03-02,M
CUST04445,1962-03-03,F
CUST04446,1962-03-04,F
CUST04447,1962-03-05,M
CUST04448,1962-03-06,M
CUST04449,1962-03-07,M
CUST04450,1962-03-08,F
CUST04451,1962-03-09,F
CUST04452,1962-03-10,F
CUST04453,1962-03-11,F
CUST04454,1962-03-12,F
CUST04455,1962-03-13,M
CUST04456,1962-03-14,M
CUST04457,1962-03-15,M
CUST04458,1962-03-16,M
CUST04459,1962-03-17,M
CUST04460,1962-03-18,
CUST04461,1962-03-19,M
CUST04462,1962-03-20,F
CUST04463,1962-03-21,M
CUST04464,1962-03-22,F
CUST04465,1962-03-23,F
CUST04466,1962-03-24,F
CUST04467,1962-03-25,M
CUST04468,1962-03-26,F
CUST04469,1962-03-27,
CUST04470,1962-03-28,M
CUST04471,1962-03-29,M
CUST04472,1962-03-30,F
CUST04473,1962-03-31,M
CUST04474,1962-04-01,M
CUST04475,1962-04-02,M
CUST04476,1962-04-03,M
CUST04477,1962-04-04,M
CUST04478,1962-04-05,F
CUST04479,1962-04-06,M
CUST04480,1962-04-07,M
CUST04481,1962-04-08,F
CUST04482,1962-04-09,F
CUST04483,1962-04-10,
CUST04484,1962-04-11,F
CUST04485,1962-04-12,M
CUST04486,1962-04-13,
CUST04487,1962-04-14,M
CUST04488,1962-04-15,
CUST04489,1962-04-16,M
CUST04490,1962-04-17,M
CUST04491,1962-04-18,M
CUST04492,1962-04-19,F
CUST04493,1962-04-20,
CUST04494,1962-04-21,M
CUST04495,1962-04-22,F
CUST04496,1962-04-23,M
CUST04497,1962-04-24,M
CUST04498,1962-04-25,M
CUST04499,1962-04-26,M
CUST04500,1962-04-27,F
CUST04501,1962-04-28,
CUST04502,1962-04-29,M
CUST04503,1962-04-30,M
CUST04504,1962-05-01,M
CUST04505,1962-05-02,M
CUST04506,1962-05-03,F
CUST04507,1962-05-04,M
CUST04508,1962-05-05,F
CUST04509,1962-05-06,F
CUST04510,1962-05-07,F
CUST04511,1962-05-08,M
CUST04512,1962-05-09,
CUST04513,1962-05-10,M
CUST04514,1962-05-11,M
CUST04515,1962-05-12,M
CUST04516,1962-05-13,M
CUST04517,1962-05-14,F
CUST04518,1962-05-15,F
CUST04519,1962-05-16,
CUST04520,1962-05-17,M
CUST04521,1962-05-18,M
CUST04522,1962-05-19,M
CUST04523,1962-05-20,F
CUST04524,1962-05-21,M
CUST04525,1962-05-22,F
CUST04526,1962-05-23,M
CUST04527,1962-05-24,F
CUST04528,1962-05-25,M
CUST04529,1962-05-26,M
CUST04530,1962-05-27,F
CUST04531,1962-05-28,F
CUST04532,1962-05-29,M
CUST04533,1962-05-30,
CUST04534,1962-05-31,F
CUST04535,1962-06-01,
CUST04536,1962-06-02,F
CUST04537,1962-06-03,M
CUST04538,1962-06-04,F
CUST04539,1962-06-05,F
CUST04540,1962-06-06,M
CUST04541,1962-06-07,M
CUST04542,1962-06-08,F
CUST04543,1962-06-09,M
CUST04544,1962-06-10,
CUST04545,1962-06-11,M
CUST04546,1962-06-12,M
CUST04547,1962-06-13,F
CUST04548,1962-06-14,F
CUST04549,1962-06-15,M
CUST04550,1962-06-16,F
CUST04551,1962-06-17,M
CUST04552,1962-06-18,M
CUST04553,1962-06-19,F
CUST04554,1962-06-20,M
CUST04555,1962-06-21,M
CUST04556,1962-06-22,F
CUST04557,1962-06-23,M
CUST04558,1962-06-24,M
CUST04559,1962-06-25,M
CUST04560,1962-06-26,F
CUST04561,1962-06-27,M
CUST04562,1962-06-28,
CUST04563,1962-06-29,F
CUST04564,1962-06-30,F
CUST04565,1962-07-01,M
CUST04566,1962-07-02,F
CUST04567,1962-07-03,M
CUST04568,1962-07-04,M
CUST04569,1962-07-05,M
CUST04570,1962-07-06,M
CUST04571,1962-07-07,F
CUST04572,1962-07-08,F
CUST04573,1962-07-09,F
CUST04574,1962-07-10,M
CUST04575,1962-07-11,F
CUST04576,1962-07-12,M
CUST04577,1962-07-13,M
CUST04578,1962-07-14,F
CUST04579,1962-07-15,
CUST04580,1962-07-16,M
CUST04581,1962-07-17,M
CUST04582,1962-07-18,F
CUST04583,1962-07-19,F
CUST04584,1962-07-20,F
CUST04585,1962-07-21,M
CUST04586,1962-07-22,F
CUST04587,1962-07-23,M
CUST04588,1962-07-24,M
CUST04589,1962-07-25,F
CUST04590,1962-07-26,M
CUST04591,1962-07-27,M
CUST04592,1962-07-28,F
CUST04593,1962-07-29,M
CUST04594,1962-07-30,M
CUST04595,1962-07-31,F
CUST04596,1962-08-01,M
CUST04597,1962-08-02,F
CUST04598,1962-08-03,F
CUST04599,1962-08-04,M
CUST04600,1962-08-05,M
CUST04601,1962-08-06,M
CUST04602,1962-08-07,M
CUST04603,1962-08-08,
CUST04604,1962-08-09,M
CUST04605,1962-08-10,F
CUST04606,1962-08-11,F
CUST04607,1962-08-12,M
CUST04608,1962-08-13,M
CUST04609,1962-08-14,F
CUST04610,1962-08-15,F
CUST04611,1962-08-16,M
CUST04612,1962-08-17,F
CUST04613,1962-08-18,
CUST04614,1962-08-19,M
CUST04615,1962-08-20,M
CUST04616,1962-08-21,
CUST04617,1962-08-22,F
CUST04618,1962-08-23,M
CUST04619,1962-08-24,M
CUST04620,1962-08-25,
CUST04621,1962-08-26,F
CUST04622,1962-08-27,F
CUST04623,1962-08-28,F
CUST04624,1962-08-29,
CUST04625,1962-08-30,M
CUST04626,1962-08-31,F
CUST04627,1962-09-01,F
CUST04628,1962-09-02,F
CUST04629,1962-09-03,F
CUST04630,1962-09-04,F
CUST04631,1962-09-05,F
CUST04632,1962-09-06,F
CUST04633,1962-09-07,F
CUST04634,1962-09-08,
CUST04635,1962-09-09,F
CUST04636,1962-09-10,F
CUST04637,1962-09-11,M
CUST04638,1962-09-12,
CUST04639,1962-09-13,F
CUST04640,1962-09-14,F
CUST04641,1962-09-15,F
CUST04642,1962-09-16,F
CUST04643,1962-09-17,M
CUST04644,1962-09-18,
CUST04645,1962-09-19,M
CUST04646,1962-09-20,M
CUST04647,1962-09-21,M
CUST04648,1962-09-22,M
CUST04649,1962-09-23,
CUST04650,1962-09-24,M
CUST04651,1962-09-25,M
CUST04652,1962-09-26,M
CUST04653,1962-09-27,
CUST04654,1962-09-28,M
CUST04655,1962-09-29,M
CUST04656,1962-09-30,F
CUST04657,1962-10-01,F
CUST04658,1962-10-02,M
CUST04659,1962-10-03,F
CUST04660,1962-10-04,F
CUST04661,1962-10-05,M
CUST04662,1962-10-06,M
CUST04663,1962-10-07,M
CUST04664,1962-10-08,F
CUST04665,1962-10-09,
CUST04666,1962-10-10,F
CUST04667,1962-10-11,M
CUST04668,1962-10-12,M
CUST04669,1962-10-13,F
CUST04670,1962-10-14,F
CUST04671,1962-10-15,M
CUST04672,1962-10-16,F
