CID,CNTRY
CUST03776,USA
CUST03777,USA
CUST03778,CAN
CUST03779,MEX
CUST03780,USA
CUST03781,CAN
CUST03782,MEX
CUST03783,CAN
CUST03784,GER
CUST03785,CAN
CUST03786,USA
CUST03787,USA
CUST03788,CAN
CUST03789,USA
CUST03790,CAN
CUST03791,CAN
CUST03792,CAN
CUST03793,GER
CUST03794,USA
CUST03795,USA
CUST03796,UK
CUST03797,USA
CUST03798,CAN
CUST03799,GER
CUST03800,UK
CUST03801,USA
CUST03802,USA
CUST03803,USA
CUST03804,USA
CUST03805,MEX
CUST03806,CAN
CUST03807,GER
CUST03808,USA
CUST03809,USA
CUST03810,USA
CUST03811,UK
CUST03812,UK
CUST03813,USA
CUST03814,CAN
CUST03815,CAN
CUST03816,CAN
CUST03817,CAN
CUST03818,CAN
CUST03819,USA
CUST03820,USA
CUST03821,USA
CUST03822,GER
CUST03823,USA
CUST03824,USA
CUST03825,MEX
CUST03826,USA
CUST03827,USA
CUST03828,CAN
CUST03829,CAN
CUST03830,USA
CUST03831,UK
CUST03832,MEX
CUST03833,USA
CUST03834,USA
CUST03835,CAN
CUST03836,MEX
CUST03837,USA
CUST03838,UK
CUST03839,USA
CUST03840,USA
CUST03841,UK
CUST03842,USA
CUST03843,CAN
CUST03844,USA
CUST03845,CAN
CUST03846,CAN
CUST03847,GER
CUST03848,USA
CUST03849,MEX
CUST03850,USA
CUST03851,USA
CUST03852,UK
CUST03853,CAN
CUST03854,CAN
CUST03855,USA
CUST03856,CAN
CUST03857,USA
CUST03858,
CUST03859,USA
CUST03860,UK
CUST03861,USA
CUST03862,USA
CUST03863,USA
CUST03864,MEX
CUST03865,MEX
CUST03866,USA
CUST03867,USA
CUST03868,CAN
CUST03869,CAN
CUST03870,UK
CUST03871,MEX
CUST03872,USA
CUST03873,MEX
CUST03874,
CUST03875,USA
CUST03876,GER
CUST03877,USA
CUST03878,USA
CUST03879,USA
CUST03880,CAN
CUST03881,USA
CUST03882,UK
CUST03883,USA
CUST03884,USA
CUST03885,USA
CUST03886,CAN
CUST03887,CAN
CUST03888,UK
CUST03889,USA
CUST03890,USA
CUST03891,UK
CUST03892,GER
CUST03893,USA
CUST03894,MEX
CUST03895,GER
CUST03896,CAN
CUST03897,
CUST03898,
CUST03899,USA
CUST03900,USA
CUST03901,USA
CUST03902,USA
CUST03903,USA
CUST03904,USA
CUST03905,UK
CUST03906,USA
CUST03907,USA
CUST03908,CAN
CUST03909,USA
CUST03910,
CUST03911,CAN
CUST03912,USA
CUST03913,USA
CUST03914,USA
CUST03915,USA
CUST03916,USA
CUST03917,USA
CUST03918,USA
CUST03919,USA
CUST03920,USA
CUST03921,USA
CUST03922,USA
CUST03923,USA
CUST03924,CAN
CUST03925,
CUST03926,USA
CUST03927,USA
CUST03928,USA
CUST03929,USA
CUST03930,USA
CUST03931,USA
CUST03932,USA
CUST03933,USA
CUST03934,USA
CUST03935,
CUST03936,UK
CUST03937,CAN
CUST03938,USA
CUST03939,
CUST03940,
CUST03941,MEX
CUST03942,UK
CUST03943,CAN
CUST03944,MEX
CUST03945,USA
CUST03946,MEX
CUST03947,USA
CUST03948,MEX
CUST03949,MEX
CUST03950,USA
CUST03951,USA
CUST03952,MEX
CUST03953,USA
CUST03954,USA
CUST03955,USA
CUST03956,
CUST03957,CAN
CUST03958,USA
CUST03959,USA
CUST03960,MEX
CUST03961,USA
CUST03962,CAN
CUST03963,GER
CUST03964,MEX
CUST03965,USA
CUST03966,USA
CUST03967,UK
CUST03968,CAN
CUST03969,USA
CUST03970,USA
CUST03971,USA
CUST03972,
CUST03973,USA
CUST03974,CAN
CUST03975,USA
CUST03976,USA
CUST03977,USA
CUST03978,CAN
CUST03979,USA
CUST03980,USA
CUST03981,USA
CUST03982,
CUST03983,
CUST03984,USA
CUST03985,UK
CUST03986,USA
CUST03987,USA
CUST03988,USA
CUST03989,USA
CUST03990,USA
CUST03991,USA
CUST03992,CAN
CUST03993,USA
CUST03994,CAN
CUST03995,USA
CUST03996,MEX
CUST03997,UK
CUST03998,MEX
CUST03999,GER
CUST04000,USA
CUST04001,MEX
CUST04002,UK
CUST04003,USA
CUST04004,USA
CUST04005,UK
CUST04006,GER
CUST04007,CAN
CUST04008,MEX
CUST04009,USA
CUST04010,USA
CUST04011,USA
CUST04012,USA
CUST04013,USA
CUST04014,
CUST04015,USA
CUST04016,USA
CUST04017,GER
CUST04018,USA
CUST04019,USA
CUST04020,USA
CUST04021,UK
CUST04022,USA
CUST04023,UK
CUST04024,CAN
CUST04025,USA
CUST04026,CAN
CUST04027,USA
CUST04028,USA
CUST04029,CAN
CUST04030,CAN
CUST04031,MEX
CUST04032,USA
CUST04033,USA
CUST04034,USA
CUST04035,USA
CUST04036,USA
CUST04037,USA
CUST04038,UK
CUST04039,CAN
CUST04040,USA
CUST04041,USA
CUST04042,USA
CUST04043,CAN
CUST04044,UK
CUST04045,USA
CUST04046,CAN
CUST04047,MEX
CUST04048,USA
CUST04049,USA
CUST04050,CAN
CUST04051,USA
CUST04052,UK
CUST04053,CAN
CUST04054,GER
CUST04055,CAN
CUST04056,USA
CUST04057,CAN
CUST04058,USA
CUST04059,CAN
CUST04060,CAN
CUST04061,UK
CUST04062,USA
CUST04063,UK
CUST04064,USA
CUST04065,GER
CUST04066,CAN
CUST04067,GER
CUST04068,
CUST04069,USA
CUST04070,USA
CUST04071,USA
CUST04072,UK
CUST04073,UK
CUST04074,USA
CUST04075,USA
CUST04076,USA
CUST04077,USA
CUST04078,CAN
CUST04079,GER
CUST04080,USA
CUST04081,CAN
CUST04082,UK
CUST04083,CAN
CUST04084,MEX
CUST04085,USA
CUST04086,CAN
CUST04087,USA
CUST04088,USA
CUST04089,MEX
CUST04090,CAN
CUST04091,USA
CUST04092,USA
CUST04093,CAN
CUST04094,MEX
CUST04095,CAN
CUST04096,GER
CUST04097,CAN
CUST04098,USA
CUST04099,MEX
CUST04100,USA
CUST04101,USA
CUST04102,USA
CUST04103,USA
CUST04104,GER
CUST04105,UK
CUST04106,MEX
CUST04107,USA
CUST04108,CAN
CUST04109,CAN
CUST04110,USA
CUST04111,USA
CUST04112,USA
CUST04113,USA
CUST04114,UK
CUST04115,
CUST04116,USA
CUST04117,USA
CUST04118,UK
CUST04119,GER
CUST04120,MEX
CUST04121,MEX
CUST04122,GER
CUST04123,USA
CUST04124,USA
CUST04125,CAN
CUST04126,USA
CUST04127,MEX
CUST04128,
CUST04129,UK
CUST04130,CAN
CUST04131,MEX
CUST04132,USA
CUST04133,UK
CUST04134,UK
CUST04135,USA
CUST04136,USA
CUST04137,USA
CUST04138,MEX
CUST04139,
CUST04140,USA
CUST04141,USA
CUST04142,USA
CUST04143,USA
CUST04144,UK
CUST04145,USA
CUST04146,UK
CUST04147,
CUST04148,USA
CUST04149,USA
CUST04150,MEX
CUST04151,USA
CUST04152,USA
CUST04153,
CUST04154,USA
CUST04155,CAN
CUST04156,MEX
CUST04157,CAN
CUST04158,CAN
CUST04159,USA
CUST04160,GER
CUST04161,UK
CUST04162,USA
CUST04163,MEX
CUST04164,CAN
CUST04165,MEX
CUST04166,USA
CUST04167,CAN
CUST04168,USA
CUST04169,USA
CUST04170,USA
CUST04171,USA
CUST04172,USA
CUST04173,USA
CUST04174,
CUST04175,USA
CUST04176,USA
CUST04177,UK
CUST04178,CAN
CUST04179,CAN
CUST04180,USA
CUST04181,
CUST04182,MEX
CUST04183,MEX
CUST04184,CAN
CUST04185,USA
CUST04186,USA
CUST04187,USA
CUST04188,USA
CUST04189,CAN
CUST04190,UK
CUST04191,USA
CUST04192,USA
CUST04193,CAN
CUST04194,CAN
CUST04195,UK
CUST04196,GER
CUST04197,CAN
CUST04198,USA
CUST04199,MEX
CUST04200,USA
CUST04201,GER
CUST04202,GER
CUST04203,USA
CUST04204,CAN
CUST04205,CAN
CUST04206,UK
CUST04207,USA
CUST04208,USA
CUST04209,
CUST04210,USA
CUST04211,UK
CUST04212,USA
CUST04213,USA
CUST04214,GER
CUST04215,USA
CUST04216,USA
CUST04217,CAN
CUST04218,CAN
CUST04219,USA
CUST04220,
CUST04221,MEX
CUST04222,CAN
CUST04223,USA
CUST04224,CAN
CUST04225,MEX
CUST04226,USA
CUST04227,USA
CUST04228,CAN
CUST04229,MEX
CUST04230,USA
CUST04231,USA
CUST04232,MEX
CUST04233,USA
CUST04234,USA
CUST04235,UK
CUST04236,CAN
CUST04237,CAN
CUST04238,USA
CUST04239,MEX
CUST04240,CAN
CUST04241,MEX
CUST04242,USA
CUST04243,USA
CUST04244,USA
CUST04245,USA
CUST04246,USA
CUST04247,USA
CUST04248,USA
CUST04249,USA
CUST04250,MEX
CUST04251,USA
CUST04252,UK
CUST04253,
CUST04254,USA
CUST04255,USA
CUST04256,CAN
CUST04257,USA
CUST04258,CAN
CUST04259,UK
CUST04260,USA
CUST04261,USA
CUST04262,CAN
CUST04263,CAN
CUST04264,USA
CUST04265,USA
CUST04266,CAN
CUST04267,MEX
CUST04268,USA
CUST04269,GER
CUST04270,USA
CUST04271,USA
CUST04272,MEX
CUST04273,UK
CUST04274,GER
CUST04275,CAN
CUST04276,GER
CUST04277,USA
CUST04278,USA
CUST04279,MEX
CUST04280,CAN
CUST04281,USA
CUST04282,CAN
CUST04283,USA
CUST04284,USA
CUST04285,USA
CUST04286,USA
CUST04287,GER
CUST04288,USA
CUST04289,CAN
CUST04290,USA
CUST04291,USA
CUST04292,USA
CUST04293,USA
CUST04294,USA
CUST04295,GER
CUST04296,CAN
CUST04297,UK
CUST04298,MEX
CUST04299,CAN
CUST04300,UK
CUST04301,CAN
CUST04302,CAN
CUST04303,
CUST04304,USA
CUST04305,MEX
CUST04306,USA
CUST04307,CAN
CUST04308,CAN
CUST04309,CAN
CUST04310,
CUST04311,USA
CUST04312,USA
CUST04313,USA
CUST04314,CAN
CUST04315,USA
CUST04316,USA
CUST04317,USA
CUST04318,GER
CUST04319,USA
CUST04320,CAN
CUST04321,CAN
CUST04322,CAN
CUST04323,MEX
CUST04324,USA
CUST04325,USA
CUST04326,USA
CUST04327,MEX
CUST04328,USA
CUST04329,USA
CUST04330,UK
CUST04331,CAN
CUST04332,MEX
CUST04333,USA
CUST04334,USA
CUST04335,USA
CUST04336,UK
CUST04337,MEX
CUST04338,MEX
CUST04339,MEX
CUST04340,USA
CUST04341,GER
CUST04342,USA
CUST04343,UK
CUST04344,MEX
CUST04345,CAN
CUST04346,USA
CUST04347,USA
CUST04348,CAN
CUST04349,CAN
CUST04350,CAN
CUST04351,CAN
CUST04352,USA
CUST04353,USA
CUST04354,USA
CUST04355,USA
CUST04356,CAN
CUST04357,CAN
CUST04358,USA
CUST04359,USA
CUST04360,USA
CUST04361,CAN
CUST04362,USA
CUST04363,UK
CUST04364,USA
CUST04365,CAN
CUST04366,MEX
CUST04367,CAN
CUST04368,GER
CUST04369,CAN
CUST04370,USA
CUST04371,CAN
CUST04372,MEX
CUST04373,USA
CUST04374,USA
CUST04375,
CUST04376,MEX
CUST04377,UK
CUST04378,MEX
CUST04379,USA
CUST04380,
CUST04381,USA
CUST04382,
CUST04383,USA
CUST04384,CAN
CUST04385,UK
CUST04386,USA
CUST04387,USA
CUST04388,USA
CUST04389,MEX
CUST04390,USA
CUST04391,CAN
CUST04392,UK
CUST04393,CAN
CUST04394,USA
CUST04395,MEX
CUST04396,USA
CUST04397,USA
CUST04398,USA
CUST04399,USA
CUST04400,UK
CUST04401,MEX
CUST04402,UK
CUST04403,USA
CUST04404,USA
CUST04405,GER
CUST04406,USA
CUST04407,USA
CUST04408,USA
CUST04409,UK
CUST04410,UK
CUST04411,
CUST04412,CAN
CUST04413,USA
CUST04414,
CUST04415,USA
CUST04416,USA
CUST04417,UK
CUST04418,UK
CUST04419,USA
CUST04420,CAN
CUST04421,USA
CUST04422,USA
CUST04423,CAN
CUST04424,USA
CUST04425,GER
CUST04426,USA
CUST04427,USA
CUST04428,UK
CUST04429,CAN
CUST04430,CAN
CUST04431,UK
CUST04432,UK
CUST04433,UK
CUST04434,MEX
CUST04435,CAN
CUST04436,UK
CUST04437,USA
CUST04438,UK
CUST04439,CAN
CUST04440,USA
CUST04441,MEX
CUST04442,USA
CUST04443,USA
CUST04444,USA
CUST04445,UK
CUST04446,CAN
CUST04447,USA
CUST04448,CAN
CUST04449,USA
CUST04450,USA
CUST04451,MEX
CUST04452,USA
CUST04453,USA
CUST04454,USA
CUST04455,USA
CUST04456,
CUST04457,USA
CUST04458,UK
CUST04459,CAN
CUST04460,
CUST04461,UK
CUST04462,CAN
CUST04463,UK
CUST04464,CAN
CUST04465,MEX
CUST04466,MEX
CUST04467,USA
CUST04468,USA
CUST04469,GER
CUST04470,
CUST04471,USA
CUST04472,GER
CUST04473,CAN
CUST04474,USA
CUST04475,USA
CUST04476,USA
CUST04477,UK
CUST04478,USA
CUST04479,USA
CUST04480,USA
CUST04481,GER
CUST04482,CAN
CUST04483,USA
CUST04484,USA
CUST04485,CAN
CUST04486,CAN
CUST04487,
CUST04488,CAN
CUST04489,UK
CUST04490,USA
CUST04491,USA
CUST04492,MEX
CUST04493,CAN
CUST04494,USA
CUST04495,MEX
CUST04496,CAN
CUST04497,USA
CUST04498,USA
CUST04499,CAN
CUST04500,USA
CUST04501,MEX
CUST04502,USA
CUST04503,GER
CUST04504,CAN
CUST04505,USA
CUST04506,USA
CUST04507,MEX
CUST04508,USA
CUST04509,MEX
CUST04510,USA
CUST04511,USA
CUST04512,CAN
CUST04513,CAN
CUST04514,USA
CUST04515,USA
CUST04516,USA
CUST04517,UK
CUST04518,USA
CUST04519,CAN
CUST04520,GER
CUST04521,USA
CUST04522,USA
CUST04523,USA
CUST04524,USA
CUST04525,CAN
CUST04526,UK
CUST04527,USA
CUST04528,CAN
CUST04529,USA
CUST04530,CAN
CUST04531,USA
CUST04532,USA
CUST04533,USA
CUST04534,USA
CUST04535,USA
CUST04536,CAN
CUST04537,
CUST04538,USA
CUST04539,UK
CUST04540,MEX
CUST04541,CAN
CUST04542,USA
CUST04543,USA
CUST04544,USA
CUST04545,CAN
CUST04546,UK
CUST04547,USA
CUST04548,CAN
CUST04549,USA
CUST04550,MEX
CUST04551,USA
CUST04552,USA
CUST04553,MEX
CUST04554,USA
CUST04555,USA
CUST04556,UK
CUST04557,USA
CUST04558,USA
CUST04559,USA
CUST04560,USA
CUST04561,CAN
CUST04562,MEX
CUST04563,UK
CUST04564,CAN
CUST04565,USA
CUST04566,USA
CUST04567,CAN
CUST04568,USA
CUST04569,MEX
CUST04570,USA
CUST04571,MEX
CUST04572,USA
CUST04573,USA
CUST04574,GER
CUST04575,
CUST04576,UK
CUST04577,UK
CUST04578,CAN
CUST04579,
CUST04580,CAN
CUST04581,CAN
CUST04582,USA
CUST04583,CAN
CUST04584,USA
CUST04585,
CUST04586,CAN
CUST04587,
CUST04588,USA
CUST04589,USA
CUST04590,USA
CUST04591,USA
CUST04592,USA
CUST04593,MEX
CUST04594,UK
CUST04595,USA
CUST04596,USA
CUST04597,CAN
CUST04598,CAN
CUST04599,USA
CUST04600,USA
CUST04601,USA
CUST04602,USA
CUST04603,UK
CUST04604,USA
CUST04605,USA
CUST04606,USA
CUST04607,USA
CUST04608,CAN
CUST04609,USA
CUST04610,USA
CUST04611,UK
CUST04612,CAN
CUST04613,USA
CUST04614,MEX
CUST04615,CAN
CUST04616,USA
CUST04617,USA
CUST04618,MEX
CUST04619,GER
CUST04620,USA
CUST04621,GER
CUST04622,USA
CUST04623,USA
CUST04624,MEX
CUST04625,MEX
CUST04626,
CUST04627,USA
CUST04628,USA
CUST04629,USA
CUST04630,USA
CUST04631,
CUST04632,USA
CUST04633,USA
CUST04634,UK
CUST04635,USA
CUST04636,USA
CUST04637,UK
CUST04638,USA
CUST04639,USA
CUST04640,USA
CUST04641,GER
CUST04642,MEX
CUST04643,USA
CUST04644,USA
CUST04645,CAN
CUST04646,USA
CUST04647,USA
CUST04648,USA
CUST04649,CAN
CUST04650,USA
CUST04651,USA
CUST04652,USA
CUST04653,MEX
CUST04654,USA
CUST04655,UK
CUST04656,
CUST04657,UK
CUST04658,USA
CUST04659,USA
CUST04660,USA
CUST04661,USA
CUST04662,USA
CUST04663,USA
CUST04664,USA
CUST04665,USA
CUST04666,CAN
CUST04667,UK
CUST04668,USA
CUST04669,USA
CUST04670,CAN
CUST04671,USA
CUST04672,CAN
CUST04673,CAN
CUST04674,GER
CUST04675,MEX
CUST04676,UK
CUST04677,CAN
CUST04678,UK
CUST04679,MEX
CUST04680,UK
CUST04681,USA
CUST04682,MEX
CUST04683,CAN
CUST04684,GER
CUST04685,CAN
CUST04686,USA
CUST04687,CAN
CUST04688,USA
CUST04689,MEX
CUST04690,USA
CUST04691,CAN
CUST04692,GER
CUST04693,USA
CUST04694,UK
CUST04695,USA
CUST04696,CAN
CUST04697,USA
CUST04698,USA
CUST04699,USA
CUST04700,CAN
CUST04701,USA
CUST04702,USA
CUST04703,CAN
CUST04704,USA
CUST04705,UK
CUST04706,CAN
CUST04707,MEX
CUST04708,CAN
CUST04709,CAN
CUST04710,USA
CUST04711,CAN
CUST04712,USA
CUST04713,GER
CUST04714,CAN
CUST04715,USA
CUST04716,CAN
CUST04717,USA
CUST04718,GER
CUST04719,
CUST04720,MEX
CUST04721,USA
CUST04722,UK
CUST04723,USA
CUST04724,USA
CUST04725,USA
CUST04726,MEX
CUST04727,USA
CUST04728,USA
CUST04729,USA
CUST04730,USA
CUST04731,USA
CUST04732,CAN
CUST04733,GER
CUST04734,MEX
CUST04735,USA
CUST04736,CAN
CUST04737,GER
CUST04738,USA
CUST04739,CAN
CUST04740,USA
CUST04741,CAN
CUST04742,MEX
CUST04743,CAN
CUST04744,UK
CUST04745,USA
CUST04746,UK
CUST04747,UK
CUST04748,USA
CUST04749,USA
CUST04750,USA
CUST04751,GER
CUST04752,USA
CUST04753,USA
CUST04754,USA
CUST04755,USA
CUST04756,USA
CUST04757,USA
CUST04758,USA
CUST04759,UK
CUST04760,CAN
CUST04761,CAN
CUST04762,CAN
CUST04763,CAN
CUST04764,CAN
CUST04765,USA
CUST04766,USA
CUST04767,USA
CUST04768,CAN
CUST04769,USA
CUST04770,GER
CUST04771,USA
CUST04772,USA
CUST04773,UK
CUST04774,USA
CUST04775,USA
CUST04776,MEX
CUST04777,MEX
CUST04778,CAN
CUST04779,USA
CUST04780,CAN
CUST04781,UK
CUST04782,USA
CUST04783,MEX
CUST04784,
CUST04785,CAN
CUST04786,CAN
CUST04787,USA
CUST04788,USA
CUST04789,CAN
CUST04790,USA
CUST04791,CAN
CUST04792,UK
CUST04793,CAN
CUST04794,USA
CUST04795,GER
CUST04796,USA
CUST04797,USA
CUST04798,USA
CUST04799,CAN
CUST04800,
CUST04801,USA
CUST04802,USA
CUST04803,MEX
CUST04804,USA
CUST04805,USA
CUST04806,MEX
CUST04807,USA
CUST04808,CAN
CUST04809,CAN
CUST04810,CAN
CUST04811,USA
CUST04812,MEX
CUST04813,USA
CUST04814,UK
CUST04815,USA
CUST04816,USA
CUST04817,UK
CUST04818,UK
CUST04819,USA
CUST04820,UK
CUST04821,USA
CUST04822,USA
CUST04823,UK
CUST04824,USA
CUST04825,USA
CUST04826,USA
CUST04827,USA
CUST04828,USA
CUST04829,USA
CUST04830,CAN
CUST04831,CAN
CUST04832,CAN
CUST04833,CAN
CUST04834,
CUST04835,USA
CUST04836,UK
CUST04837,USA
CUST04838,MEX
CUST04839,USA
CUST04840,USA
CUST04841,CAN
CUST04842,GER
CUST04843,MEX
CUST04844,
CUST04845,USA
CUST04846,
CUST04847,GER
CUST04848,USA
CUST04849,CAN
CUST04850,CAN
CUST04851,USA
CUST04852,CAN
CUST04853,CAN
CUST04854,USA
CUST04855,CAN
CUST04856,CAN
CUST04857,MEX
CUST04858,USA
CUST04859,UK
CUST04860,CAN
CUST04861,CAN
CUST04862,USA
CUST04863,USA
CUST04864,USA
CUST04865,USA
CUST04866,USA
CUST04867,MEX
CUST04868,UK
CUST04869,USA
CUST04870,USA
CUST04871,USA
CUST04872,USA
CUST04873,CAN
CUST04874,UK
CUST04875,USA
CUST04876,
CUST04877,CAN
CUST04878,USA
CUST04879,USA
CUST04880,CAN
CUST04881,USA
CUST04882,USA
CUST04883,USA
CUST04884,UK
CUST04885,USA
CUST04886,MEX
CUST04887,USA
CUST04888,CAN
CUST04889,CAN
CUST04890,UK
CUST04891,USA
CUST04892,CAN
CUST04893,
CUST04894,USA
CUST04895,USA
CUST04896,UK
CUST04897,UK
CUST04898,CAN
CUST04899,USA
CUST04900,UK
CUST04901,USA
CUST04902,USA
CUST04903,USA
CUST04904,UK
CUST04905,USA
CUST04906,
CUST04907,USA
CUST04908,USA
CUST04909,USA
CUST04910,GER
CUST04911,CAN
CUST04912,USA
CUST04913,MEX
CUST04914,USA
CUST04915,USA
CUST04916,GER
CUST04917,USA
CUST04918,USA
CUST04919,USA
CUST04920,USA
CUST04921,USA
CUST04922,USA
CUST04923,USA
CUST04924,USA
CUST04925,USA
CUST04926,GER
CUST04927,UK
CUST04928,USA
CUST04929,USA
CUST04930,CAN
CUST04931,MEX
CUST04932,USA
CUST04933,MEX
CUST04934,UK
CUST04935,USA
CUST04936,MEX
CUST04937,USA
CUST04938,MEX
CUST04939,USA
CUST04940,USA
CUST04941,USA
CUST04942,USA
CUST04943,USA
CUST04944,CAN
CUST04945,UK
CUST04946,USA
CUST04947,USA
CUST04948,UK
CUST04949,USA
CUST04950,UK
CUST04951,CAN
CUST04952,CAN
CUST04953,USA
CUST04954,UK
CUST04955,MEX
CUST04956,GER
CUST04957,USA
CUST04958,USA
CUST04959,CAN
CUST04960,USA
CUST04961,USA
CUST04962,USA
CUST04963,USA
CUST04964,USA
CUST04965,CAN
CUST04966,USA
CUST04967,
CUST04968,CAN
CUST04969,USA
CUST04970,USA
CUST04971,USA
CUST04972,UK
CUST04973,USA
CUST04974,USA
CUST04975,MEX
CUST04976,GER
CUST04977,USA
CUST04978,CAN
CUST04979,MEX
CUST04980,USA
CUST04981,UK
CUST04982,CAN
CUST04983,USA
CUST04984,
CUST04985,CAN
CUST04986,USA
CUST04987,USA
CUST04988,CAN
CUST04989,USA
CUST04990,CAN
CUST04991,CAN
CUST04992,CAN
CUST04993,CAN
CUST04994,USA
CUST04995,UK
CUST04996,CAN
CUST04997,MEX
CUST04998,USA
CUST04999,CAN
CUST05000,
CUST05001,USA
CUST05002,CAN
CUST05003,USA
CUST05004,USA
CUST05005,USA
CUST05006,USA
CUST05007,CAN
CUST05008,USA
CUST05009,USA
CUST05010,USA
CUST05011,USA
CUST05012,USA
CUST05013,USA
CUST05014,USA
CUST05015,GER
CUST05016,
CUST05017,USA
CUST05018,GER
CUST05019,USA
CUST05020,CAN
CUST05021,USA
CUST05022,USA
CUST05023,USA
CUST05024,MEX
CUST05025,CAN
CUST05026,UK
CUST05027,GER
CUST05028,CAN
CUST05029,UK
CUST05030,CAN
CUST05031,MEX
CUST05032,USA
CUST05033,USA
CUST05034,CAN
CUST05035,USA
CUST05036,USA
CUST05037,CAN
CUST05038,MEX
CUST05039,CAN
CUST05040,MEX
CUST05041,CAN
CUST05042,UK
CUST05043,
CUST05044,GER
CUST05045,
CUST05046,
CUST05047,UK
CUST05048,MEX
CUST05049,CAN
CUST05050,MEX
CUST05051,
CUST05052,USA
CUST05053,USA
CUST05054,USA
CUST05055,CAN
CUST05056,CAN
CUST05057,CAN
CUST05058,MEX
CUST05059,USA
CUST05060,USA
CUST05061,USA
CUST05062,USA
CUST05063,USA
CUST05064,USA
CUST05065,USA
CUST05066,CAN
CUST05067,UK
CUST05068,USA
CUST05069,CAN
CUST05070,USA
CUST05071,USA
CUST05072,CAN
CUST05073,USA
CUST05074,CAN
CUST05075,USA
CUST05076,UK
CUST05077,
CUST05078,USA
CUST05079,USA
CUST05080,CAN
CUST05081,USA
CUST05082,
CUST05083,USA
CUST05084,USA
CUST05085,USA
CUST05086,USA
CUST05087,USA
CUST05088,
CUST05089,UK
CUST05090,USA
CUST05091,USA
CUST05092,USA
CUST05093,USA
CUST05094,USA
CUST05095,MEX
CUST05096,USA
CUST05097,CAN
CUST05098,
CUST05099,CAN
CUST05100,UK
CUST05101,MEX
CUST05102,MEX
CUST05103,USA
CUST05104,CAN
CUST05105,USA
CUST05106,CAN
CUST05107,USA
CUST05108,USA
CUST05109,USA
CUST05110,GER
CUST05111,USA
CUST05112,USA
CUST05113,CAN
CUST05114,USA
CUST05115,USA
CUST05116,USA
CUST05117,USA
CUST05118,UK
CUST05119,MEX
CUST05120,CAN
CUST05121,USA
CUST05122,CAN
CUST05123,CAN
CUST05124,USA
CUST05125,USA
CUST05126,CAN
CUST05127,USA
CUST05128,MEX
CUST05129,GER
CUST05130,MEX
CUST05131,USA
CUST05132,USA
CUST05133,USA
CUST05134,CAN
CUST05135,UK
CUST05136,USA
CUST05137,MEX
CUST05138,UK
CUST05139,CAN
CUST05140,
CUST05141,CAN
CUST05142,UK
CUST05143,USA
CUST05144,USA
CUST05145,CAN
CUST05146,CAN
CUST05147,USA
CUST05148,CAN
CUST05149,USA
CUST05150,CAN
CUST05151,CAN
CUST05152,USA
CUST05153,USA
CUST05154,USA
CUST05155,USA
CUST05156,MEX
CUST05157,UK
CUST05158,MEX
CUST05159,USA
CUST05160,CAN
CUST05161,USA
CUST05162,CAN
CUST05163,CAN
CUST05164,UK
CUST05165,USA
CUST05166,USA
CUST05167,
CUST05168,USA
CUST05169,MEX
CUST05170,GER
CUST05171,GER
CUST05172,USA
CUST05173,USA
CUST05174,USA
CUST05175,CAN
CUST05176,USA
CUST05177,GER
CUST05178,CAN
CUST05179,
CUST05180,UK
CUST05181,USA
CUST05182,USA
CUST05183,USA
CUST05184,USA
CUST05185,MEX
CUST05186,MEX
CUST05187,USA
CUST05188,UK
CUST05189,MEX
CUST05190,CAN
CUST05191,USA
CUST05192,CAN
CUST05193,UK
CUST05194,MEX
CUST05195,USA
CUST05196,MEX
CUST05197,CAN
CUST05198,USA
CUST05199,GER
CUST05200,USA
CUST05201,USA
CUST05202,
CUST05203,
CUST05204,MEX
CUST05205,USA
CUST05206,USA
CUST05207,USA
CUST05208,USA
CUST05209,USA
CUST05210,USA
CUST05211,MEX
CUST05212,UK
CUST05213,USA
CUST05214,CAN
CUST05215,USA
CUST05216,USA
CUST05217,USA
CUST05218,CAN
CUST05219,USA
CUST05220,MEX
CUST05221,USA
CUST05222,MEX
CUST05223,USA
CUST05224,CAN
CUST05225,USA
CUST05226,CAN
CUST05227,MEX
CUST05228,USA
CUST05229,USA
CUST05230,MEX
CUST05231,UK
CUST05232,USA
CUST05233,CAN
CUST05234,UK
CUST05235,MEX
CUST05236,CAN
CUST05237,USA
CUST05238,USA
CUST05239,USA
CUST05240,USA
CUST05241,MEX
CUST05242,USA
CUST05243,MEX
CUST05244,GER
CUST05245,USA
CUST05246,CAN
CUST05247,UK
CUST05248,USA
CUST05249,USA
CUST05250,USA
CUST05251,USA
CUST05252,USA
CUST05253,USA
CUST05254,UK
CUST05255,USA
CUST05256,CAN
CUST05257,GER
CUST05258,USA
CUST05259,USA
CUST05260,USA
CUST05261,CAN
CUST05262,UK
CUST05263,MEX
CUST05264,USA
CUST05265,CAN
CUST05266,CAN
CUST05267,
CUST05268,USA
CUST05269,USA
CUST05270,CAN
CUST05271,USA
CUST05272,CAN
CUST05273,
CUST05274,USA
CUST05275,USA
CUST05276,USA
CUST05277,USA
CUST05278,USA
CUST05279,MEX
CUST05280,UK
CUST05281,USA
CUST05282,CAN
CUST05283,CAN
CUST05284,CAN
CUST05285,USA
CUST05286,USA
CUST05287,USA
CUST05288,UK
CUST05289,USA
CUST05290,CAN
CUST05291,USA
CUST05292,CAN
CUST05293,UK
